moon,0.075681,1.61E-088
doesn't,0.075891,7.20E-089
blood,0.076001,1.18E-089
reality,0.076068,9.51E-090
like a,0.076459,2.35E-090
though,0.076519,1.36E-090
darkness,0.076542,1.12E-090
world,0.076626,3.56E-091
i'll be,0.076721,4.01E-091
mind,0.076731,3.58E-091
i can't,0.076813,3.12E-090
quite,0.076883,8.47E-092
;,0.077183,3.27E-092
completely,0.077196,2.89E-092
listening to,0.077276,1.65E-092
die,0.07736,1.43E-091
what's,0.077433,3.91E-093
isn't,0.077558,4.06E-093
where,0.077699,1.46E-093
listening,0.077746,9.71E-094
you know,0.078111,1.12E-094
own,0.078148,1.16E-094
itself,0.07836,2.98E-095
fear,0.078468,1.30E-095
"""",0.078492,8.33E-096
nature,0.078506,2.24E-095
": """,0.078535,6.46E-096
sky,0.078621,1.36E-095
existence,0.078624,7.38E-096
sound,0.078692,2.64E-096
realized,0.078952,2.81E-096
reading,0.079091,3.64E-097
society,0.079158,3.56E-097
awesome,0.079304,5.21E-097
become,0.07933,9.27E-098
alive,0.079349,6.92E-098
through the,0.079414,5.99E-098
humanity,0.079843,7.20E-099
three,0.08053,5.64E-101
the sky,0.081037,7.54E-102
through,0.08105,3.45E-102
seems,0.081647,7.97E-104
there's,0.082154,1.18E-104
read,0.08239,1.17E-105
myself,0.082639,1.22E-105
i'm,0.08293,1.54E-106
thoughts,0.082941,6.25E-106
right now .,0.082978,5.99E-107
into,0.083168,8.37E-108
.,0.08347,1.86E-108
i don't,0.083591,2.44E-108
upon,0.08384,3.91E-109
those,0.084227,9.23E-110
sense,0.084269,7.40E-111
didn't,0.084353,1.47E-110
i'm not,0.084512,8.78E-111
i'd,0.084692,3.25E-111
dark,0.085289,1.54E-113
i'm going to,0.085355,3.20E-113
kind of,0.085685,1.49E-114
must,0.085692,4.03E-114
you're,0.085986,1.62E-114
it's,0.086066,1.10E-114
book,0.086217,6.20E-116
i'm going,0.086901,1.77E-117
kind,0.087048,6.79E-118
brain,0.087071,1.75E-118
books,0.087505,1.81E-119
light,0.088453,2.94E-122
deep,0.08875,2.79E-123
shall,0.088795,2.20E-123
perhaps,0.089744,1.47E-125
the world,0.089764,3.44E-126
human,0.08996,2.01E-126
i'll,0.090283,8.51E-127
we're,0.090482,3.18E-127
dead,0.09051,1.03E-126
evil,0.091331,2.05E-130
sigh,0.091562,1.44E-130
apparently,0.091586,3.02E-131
zombie,0.091679,1.24E-130
into the,0.092942,3.99E-135
strange,0.093008,1.12E-135
epic,0.094091,3.18E-133
dreams,0.094685,2.88E-140
poetry,0.095038,1.08E-141
that's,0.095515,7.99E-143
i've been,0.095879,5.87E-144
death,0.098629,7.87E-152
they're,0.099469,5.09E-155
dream,0.099957,8.56E-156
music,0.106949,1.27E-178
soul,0.107371,7.21E-182
the universe,0.107483,1.07E-181
writing,0.109566,9.02E-188
i've,0.111732,2.24E-196
art,0.115162,1.68E-209
universe,0.117249,6.28E-217
""" -",0.122342,7.01E-236
". "" -",0.124132,5.45E-244
